ID,ID_String,Twitter_Name,Twitter_Username,Location,followers_count,friends_count,listed_count,created_at,favourites_count,favourites_count,verified,statuses_count
1491444081280827400,1491444081280827402,pikapi.eth,PUBGGAM79698235,,10,197,0,Wed Feb 09 16:09:35 +0000 2022,239,239,false,335
1344205176845049900,1344205176845049857,Rodger Francis,RogerFr31158431,,34,151,0,Wed Dec 30 08:54:39 +0000 2020,684,684,false,615
127970181,127970181,Rajat jain,rajat_rajat59,"Gwalior, India",151,1970,4,Tue Mar 30 19:04:56 +0000 2010,1476,1476,false,7356
1377244126794555400,1377244126794555392,Hossainraju251@gmai. com,hossainraju251,,25,937,1,Wed Mar 31 13:00:24 +0000 2021,37,37,false,236
2387233088,2387233088,knownobetter,knownosin,path,42,385,1,Thu Mar 13 15:25:39 +0000 2014,116,116,false,626
1521231142380310500,1521231142380310528,Zulfiqar Ali saghar,Z_A_Saghar,,324,2677,0,Mon May 02 20:53:37 +0000 2022,62,62,false,65
1467522668081848300,1467522668081848322,이한솔,ihansol80493510,서울,18,445,0,Sun Dec 05 15:54:14 +0000 2021,510,510,false,1166
1492161711255826400,1492161711255826433,Araz Elmurazoğlu,arazelmuraz,,8,437,4,Fri Feb 11 15:41:00 +0000 2022,418,418,false,589
1493973873846628400,1493973873846628357,Hasan Ahmed,yunus14291114,,1,127,0,Wed Feb 16 15:42:07 +0000 2022,31,31,false,107
1260825380086182000,1260825380086181889,L U V Y,Luvy16312112_,"Calabarzon, Republic of the Ph",557,4341,6,Thu May 14 06:53:26 +0000 2020,7388,7388,false,10123
1147339242751713300,1147339242751713280,tonpham,tonpham8,,17,49,0,Sat Jul 06 02:59:26 +0000 2019,28,28,false,34
3545306963,3545306963,🍀,den_mcclane,,32,129,8,Fri Sep 04 13:56:53 +0000 2015,444,444,false,39
1442456368527544300,1442456368527544326,CURIOSITY ¿🌕,BirdPassiinate,,26,224,0,Mon Sep 27 11:49:46 +0000 2021,160,160,false,365
1287695969320972300,1287695969320972289,효진이눈에별이있어요,hyo_stars,,0,53,0,Mon Jul 27 10:27:09 +0000 2020,2566,2566,false,45
